Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
2,0.585,0.49,0.185,1.171,0.522,0.2535,0.335
2,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305
2,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309
0,0.575,0.45,0.12,0.9585,0.447,0.169,0.275
1,0.625,0.485,0.15,1.044,0.438,0.2865,0.278
1,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12
2,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28
1,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045
2,0.59,0.485,0.12,0.911,0.39,0.182,0.29
2,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935
0,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35
1,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
2,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1
1,0.47,0.375,0.105,0.468,0.1665,0.108,0.17
2,0.64,0.515,0.08,1.042,0.515,0.1755,0.175
1,0.51,0.395,0.13,0.6025,0.281,0.143,0.162
0,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335
2,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155
2,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315
0,0.68,0.56,0.195,1.664,0.58,0.3855,0.545
1,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3
2,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
0,0.62,0.51,0.18,1.233,0.592,0.274,0.322
1,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18
0,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125
1,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055
1,0.605,0.435,0.13,0.9025,0.432,0.174,0.26
2,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31
1,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065
2,0.615,0.47,0.155,1.2,0.5085,0.32,0.292
0,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344
1,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08
2,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295
0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
0,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225
2,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206
0,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175
1,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095
2,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37
1,0.375,0.245,0.1,0.394,0.166,0.091,0.1125
0,0.625,0.515,0.16,1.264,0.5715,0.326,0.321
0,0.635,0.495,0.18,1.596,0.617,0.317,0.37
1,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
2,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
1,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1
2,0.645,0.515,0.16,1.1845,0.506,0.311,0.335
2,0.625,0.485,0.17,1.437,0.5855,0.293,0.475
1,0.385,0.28,0.125,0.244,0.102,0.038,0.085
2,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04
2,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24
2,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065
0,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223
2,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28
0,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185
0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167
0,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52
1,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1
2,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455
2,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24
2,0.51,0.4,0.14,0.6905,0.259,0.151,0.23
0,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265
0,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245
2,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285
2,0.63,0.485,0.155,1.278,0.637,0.275,0.31
1,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274
1,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048
0,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313
1,0.32,0.25,0.08,0.1565,0.057,0.034,0.06
1,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045
0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38
0,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357
1,0.415,0.31,0.095,0.34,0.181,0.057,0.083
0,0.52,0.41,0.155,0.727,0.291,0.1835,0.235
1,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055
2,0.65,0.525,0.185,1.488,0.665,0.337,0.378
2,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745
1,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675
2,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185
2,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195
2,0.595,0.5,0.165,1.06,0.402,0.28,0.275
0,0.47,0.375,0.125,0.5615,0.252,0.137,0.18
0,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985
2,0.62,0.5,0.2,1.221,0.4605,0.263,0.43
2,0.47,0.36,0.105,0.544,0.27,0.1395,0.129
1,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765
0,0.56,0.41,0.16,0.8215,0.342,0.184,0.253
0,0.59,0.455,0.165,1.161,0.38,0.2455,0.28
1,0.56,0.44,0.14,0.825,0.402,0.139,0.245
0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49
2,0.495,0.395,0.12,0.553,0.224,0.1375,0.167
1,0.39,0.3,0.105,0.259,0.0955,0.038,0.085
2,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115
0,0.575,0.42,0.135,0.857,0.461,0.147,0.2125
2,0.59,0.5,0.15,1.142,0.485,0.265,0.345
0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
2,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081
2,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4
0,0.67,0.52,0.15,1.406,0.519,0.348,0.37
0,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645
2,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545
0,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265
2,0.42,0.34,0.115,0.4215,0.175,0.093,0.135
2,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405
0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
0,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305
1,0.47,0.37,0.11,0.5555,0.25,0.115,0.163
1,0.57,0.435,0.17,0.848,0.4,0.166,0.25
2,0.47,0.37,0.13,0.5225,0.201,0.133,0.165
0,0.515,0.425,0.14,0.766,0.304,0.1725,0.255
1,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615
1,0.465,0.36,0.105,0.452,0.22,0.159,0.1035
0,0.46,0.35,0.115,0.44,0.19,0.1025,0.13
1,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035
0,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185
1,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3
1,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208
1,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615
2,0.48,0.38,0.135,0.528,0.2,0.1395,0.16
0,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215
1,0.49,0.37,0.11,0.538,0.271,0.1035,0.139
0,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24
0,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165
1,0.485,0.365,0.105,0.5205,0.195,0.123,0.182
2,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33
1,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775
2,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385
1,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07
1,0.455,0.37,0.125,0.433,0.201,0.1265,0.145
1,0.445,0.33,0.12,0.347,0.12,0.084,0.105
1,0.39,0.3,0.09,0.252,0.1065,0.053,0.08
0,0.675,0.525,0.17,1.711,0.8365,0.352,0.475
1,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855
2,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184
2,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505
1,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068
2,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165
1,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325
2,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475
0,0.34,0.255,0.085,0.204,0.097,0.021,0.05
2,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825
0,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25
0,0.6,0.45,0.14,0.837,0.37,0.177,0.2425
0,0.37,0.275,0.08,0.227,0.093,0.0625,0.07
0,0.565,0.505,0.21,1.2765,0.501,0.279,0.355
2,0.61,0.48,0.15,1.1495,0.564,0.274,0.264
2,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425
2,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535
0,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21
1,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135
2,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225
2,0.715,0.545,0.18,1.7405,0.871,0.347,0.449
0,0.66,0.515,0.18,1.523,0.54,0.3365,0.555
2,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585
0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435
2,0.645,0.495,0.19,1.539,0.6115,0.408,0.445
1,0.505,0.385,0.12,0.6005,0.239,0.142,0.185
2,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485
0,0.655,0.5,0.18,1.4155,0.508,0.314,0.445
1,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365
1,0.43,0.325,0.105,0.309,0.119,0.08,0.098
0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26
1,0.335,0.26,0.085,0.192,0.097,0.03,0.054
1,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15
0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295
2,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245
1,0.165,0.12,0.03,0.0215,0.007,0.005,0.005
0,0.605,0.45,0.165,1.2225,0.357,0.202,0.385
1,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32
2,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18
0,0.7,0.555,0.22,1.666,0.647,0.4285,0.455
0,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835
2,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195
2,0.62,0.505,0.185,1.5275,0.69,0.368,0.35
0,0.445,0.33,0.105,0.4525,0.18,0.103,0.123
2,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59
2,0.56,0.41,0.165,0.93,0.3505,0.237,0.3
0,0.595,0.5,0.18,1.053,0.4405,0.192,0.39
1,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093
2,0.615,0.47,0.175,1.242,0.5675,0.287,0.317
1,0.475,0.365,0.14,0.4545,0.171,0.118,0.158
2,0.745,0.565,0.215,1.931,0.896,0.4585,0.5
0,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315
0,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39
2,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025
2,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18
2,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175
0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248
0,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356
2,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195
1,0.41,0.315,0.1,0.3,0.124,0.0575,0.1
2,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085
0,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08
2,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335
0,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32
0,0.65,0.545,0.175,1.5245,0.59,0.326,0.495
1,0.5,0.385,0.12,0.516,0.197,0.1305,0.165
2,0.3,0.24,0.09,0.161,0.0725,0.039,0.05
2,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214
2,0.555,0.44,0.15,1.092,0.416,0.212,0.4405
2,0.59,0.45,0.185,1.283,0.473,0.276,0.425
0,0.395,0.295,0.095,0.2245,0.078,0.054,0.08
2,0.69,0.55,0.195,1.777,0.769,0.38,0.4305
2,0.525,0.395,0.165,0.782,0.285,0.1405,0.285
1,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
0,0.6,0.465,0.165,0.8875,0.309,0.246,0.262
2,0.62,0.49,0.16,1.035,0.44,0.2525,0.285
2,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31
2,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23
2,0.53,0.43,0.135,0.879,0.28,0.2165,0.25
1,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215
0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095
1,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169
1,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
2,0.41,0.325,0.1,0.3555,0.146,0.072,0.105
2,0.545,0.425,0.135,0.8445,0.373,0.21,0.235
1,0.295,0.215,0.085,0.128,0.049,0.034,0.04
2,0.505,0.385,0.145,0.6775,0.236,0.179,0.2
2,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325
1,0.415,0.335,0.1,0.358,0.169,0.067,0.105
1,0.4,0.3,0.11,0.315,0.109,0.067,0.12
1,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505
0,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13
1,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225
0,0.71,0.56,0.18,1.652,0.735,0.381,0.4525
0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12
1,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335
0,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085
1,0.17,0.13,0.095,0.03,0.013,0.008,0.01
0,0.575,0.45,0.1,0.9315,0.431,0.222,0.235
2,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105
1,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765
2,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115
2,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34
2,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275
1,0.545,0.42,0.125,0.717,0.358,0.112,0.22
0,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424
2,0.5,0.4,0.145,0.6025,0.216,0.138,0.21
2,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19
0,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276
1,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054
1,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123
1,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03
2,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275
1,0.575,0.455,0.16,0.9895,0.495,0.195,0.246
1,0.425,0.315,0.1,0.377,0.1645,0.072,0.105
2,0.645,0.485,0.215,1.514,0.546,0.2615,0.635
1,0.44,0.355,0.165,0.435,0.159,0.105,0.14
2,0.575,0.45,0.165,0.9655,0.498,0.19,0.23
2,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085
0,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37
2,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385
1,0.52,0.385,0.115,0.581,0.2555,0.156,0.143
2,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
0,0.68,0.5,0.185,1.741,0.7665,0.3255,0.4685
0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985
1,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815
2,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285
1,0.285,0.215,0.06,0.0935,0.031,0.023,0.03
2,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325
2,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
1,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065
1,0.38,0.3,0.1,0.286,0.1305,0.056,0.09
2,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578
1,0.39,0.295,0.1,0.279,0.1155,0.059,0.08
1,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105
2,0.655,0.525,0.18,1.402,0.624,0.2935,0.365
0,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239
2,0.295,0.215,0.075,0.129,0.05,0.0295,0.04
2,0.475,0.385,0.145,0.6175,0.235,0.108,0.215
1,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595
1,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21
1,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525
0,0.635,0.5,0.18,1.2565,0.539,0.292,0.35
2,0.58,0.455,0.135,0.7955,0.405,0.167,0.204
0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129
0,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403
0,0.58,0.45,0.155,0.93,0.385,0.246,0.265
2,0.47,0.37,0.135,0.547,0.222,0.1325,0.17
1,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065
2,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
2,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25
2,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235
0,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
1,0.55,0.42,0.155,0.912,0.495,0.1805,0.205
2,0.56,0.45,0.185,1.07,0.3805,0.175,0.41
2,0.57,0.455,0.15,0.96,0.387,0.2385,0.275
2,0.6,0.475,0.175,1.11,0.5105,0.256,0.285
1,0.285,0.21,0.07,0.109,0.044,0.0265,0.033
1,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195
0,0.555,0.425,0.14,0.963,0.44,0.224,0.24
1,0.575,0.45,0.135,0.807,0.3615,0.176,0.254
2,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29
2,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385
1,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
1,0.495,0.33,0.1,0.44,0.177,0.095,0.15
0,0.595,0.495,0.185,1.285,0.416,0.224,0.485
0,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148
0,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11
0,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795
0,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332
1,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1
2,0.38,0.235,0.1,0.258,0.1055,0.054,0.08
2,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374
2,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155
1,0.585,0.46,0.14,0.7635,0.326,0.153,0.265
2,0.555,0.44,0.14,0.8705,0.407,0.156,0.255
0,0.695,0.525,0.205,1.8185,0.819,0.4025,0.4525
2,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405
1,0.36,0.27,0.085,0.196,0.0875,0.035,0.064
0,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225
0,0.505,0.41,0.15,0.644,0.285,0.145,0.21
1,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365
0,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36
1,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03
2,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135
1,0.385,0.28,0.085,0.2175,0.097,0.038,0.067
0,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825
2,0.56,0.435,0.18,0.889,0.36,0.204,0.25
0,0.52,0.425,0.145,0.7,0.207,0.1905,0.24
0,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36
0,0.475,0.38,0.135,0.486,0.1735,0.07,0.185
1,0.35,0.28,0.075,0.196,0.082,0.04,0.064
1,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665
1,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081
0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
1,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25
2,0.555,0.425,0.13,0.7665,0.264,0.168,0.275
2,0.675,0.505,0.16,1.532,0.74,0.357,0.3815
1,0.395,0.295,0.1,0.293,0.14,0.062,0.082
2,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132
1,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075
0,0.635,0.505,0.17,1.2635,0.512,0.322,0.355
1,0.315,0.235,0.08,0.18,0.08,0.045,0.047
1,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425
1,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105
1,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
0,0.62,0.48,0.23,1.0935,0.403,0.245,0.355
2,0.605,0.475,0.19,1.1255,0.59,0.247,0.26
1,0.505,0.39,0.15,0.685,0.362,0.131,0.156
2,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3
1,0.33,0.265,0.09,0.18,0.068,0.036,0.06
1,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052
2,0.46,0.34,0.135,0.495,0.1655,0.117,0.185
2,0.655,0.54,0.215,1.844,0.7425,0.327,0.585
1,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084
1,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135
0,0.47,0.355,0.14,0.433,0.1525,0.095,0.152
2,0.525,0.435,0.155,1.065,0.486,0.233,0.285
2,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35
1,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16
1,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045
2,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195
0,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295
1,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105
0,0.53,0.43,0.17,0.775,0.35,0.152,0.235
0,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281
0,0.68,0.52,0.185,1.541,0.5985,0.395,0.4575
2,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273
0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062
1,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043
1,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168
2,0.495,0.385,0.135,0.709,0.211,0.1375,0.262
2,0.615,0.51,0.15,1.296,0.545,0.3315,0.32
1,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515
1,0.46,0.355,0.14,0.4935,0.216,0.133,0.115
2,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335
2,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765
1,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
2,0.5,0.4,0.165,0.825,0.254,0.205,0.285
0,0.49,0.37,0.115,0.541,0.171,0.1175,0.185
1,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085
0,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685
2,0.6,0.45,0.145,0.877,0.4325,0.155,0.24
1,0.48,0.37,0.12,0.514,0.2075,0.131,0.155
0,0.685,0.545,0.18,1.768,0.7495,0.392,0.485
1,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17
2,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955
2,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
1,0.435,0.355,0.125,0.4075,0.1535,0.074,0.165
0,0.58,0.46,0.185,1.017,0.3515,0.2,0.32
0,0.585,0.46,0.17,0.9325,0.365,0.271,0.29
0,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437
0,0.51,0.34,0.18,0.7005,0.312,0.165,0.2
2,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845
1,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655
2,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265
0,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135
1,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385
2,0.735,0.57,0.175,1.88,0.9095,0.387,0.488
1,0.35,0.25,0.07,0.18,0.0655,0.048,0.054
0,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15
0,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29
0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18
2,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175
0,0.69,0.545,0.205,1.933,0.7855,0.429,0.498
2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
1,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895
2,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166
1,0.445,0.33,0.1,0.437,0.163,0.0755,0.17
0,0.62,0.5,0.175,1.107,0.4895,0.24,0.343
1,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
1,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
1,0.44,0.35,0.125,0.456,0.21,0.0955,0.131
0,0.645,0.51,0.19,1.363,0.573,0.362,0.36
1,0.355,0.275,0.09,0.251,0.097,0.053,0.08
2,0.26,0.2,0.065,0.096,0.044,0.027,0.03
2,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01
0,0.55,0.415,0.135,0.775,0.302,0.179,0.26
1,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965
1,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14
0,0.58,0.455,0.16,0.9215,0.312,0.196,0.3
2,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965
1,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189
1,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035
2,0.575,0.435,0.14,0.8455,0.401,0.191,0.222
1,0.29,0.21,0.065,0.097,0.0375,0.022,0.03
